127.0.0.1 - - [21/Oct/2018:17:53:38 +0530] "GET / HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [21/Oct/2018:17:53:48 +0530] "GET /onlineshopping/ HTTP/1.1" 200 13946
0:0:0:0:0:0:0:1 - - [21/Oct/2018:17:54:38 +0530] "GET /onlineshopping/ HTTP/1.1" 200 11186
0:0:0:0:0:0:0:1 - - [21/Oct/2018:17:54:42 +0530] "GET /onlineshopping/resources/js/productsController.js HTTP/1.1" 200 496
0:0:0:0:0:0:0:1 - - [21/Oct/2018:17:54:42 +0530] "GET /onlineshopping/resources/css/bootstrap-readable-theme.css HTTP/1.1" 200 124547
0:0:0:0:0:0:0:1 - - [21/Oct/2018:17:54:42 +0530] "GET /onlineshopping/resources/css/dataTables.bootstrap.css HTTP/1.1" 200 4791
0:0:0:0:0:0:0:1 - - [21/Oct/2018:17:54:42 +0530] "GET /onlineshopping/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [21/Oct/2018:17:54:42 +0530] "GET /onlineshopping/resources/js/jquery.validate.js HTTP/1.1" 200 47689
0:0:0:0:0:0:0:1 - - [21/Oct/2018:17:54:42 +0530] "GET /onlineshopping/resources/css/myapp.css HTTP/1.1" 200 3834
0:0:0:0:0:0:0:1 - - [21/Oct/2018:17:54:42 +0530] "GET /onlineshopping/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [21/Oct/2018:17:54:42 +0530] "GET /onlineshopping/resources/js/jquery.js HTTP/1.1" 200 95788
0:0:0:0:0:0:0:1 - - [21/Oct/2018:17:54:42 +0530] "GET /onlineshopping/resources/js/dataTables.bootstrap.js HTTP/1.1" 200 4559
0:0:0:0:0:0:0:1 - - [21/Oct/2018:17:54:42 +0530] "GET /onlineshopping/resources/js/jquery.dataTables.js HTTP/1.1" 200 448547
0:0:0:0:0:0:0:1 - - [21/Oct/2018:17:54:42 +0530] "GET /onlineshopping/resources/js/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [21/Oct/2018:17:54:42 +0530] "GET /onlineshopping/resources/js/bootbox.min.js HTTP/1.1" 200 9972
0:0:0:0:0:0:0:1 - - [21/Oct/2018:17:54:42 +0530] "GET /onlineshopping/resources/js/myapp.js HTTP/1.1" 200 10685
0:0:0:0:0:0:0:1 - - [21/Oct/2018:17:54:42 +0530] "GET /onlineshopping/resources/images/banner2.jpg HTTP/1.1" 200 29215
0:0:0:0:0:0:0:1 - - [21/Oct/2018:17:54:42 +0530] "GET /onlineshopping/resources/images/banner4.jpg HTTP/1.1" 200 79320
0:0:0:0:0:0:0:1 - - [21/Oct/2018:17:54:42 +0530] "GET /onlineshopping/resources/images/banner3.jpg HTTP/1.1" 200 44330
0:0:0:0:0:0:0:1 - - [21/Oct/2018:17:54:42 +0530] "GET /onlineshopping/resources/images/pre-loader.gif HTTP/1.1" 200 59977
0:0:0:0:0:0:0:1 - - [21/Oct/2018:17:54:42 +0530] "GET /onlineshopping/resources/images/banner1.jpg HTTP/1.1" 200 48406
0:0:0:0:0:0:0:1 - - [21/Oct/2018:17:54:43 +0530] "GET /onlineshopping/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [21/Oct/2018:17:54:43 +0530] "GET /favicon.ico HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [21/Oct/2018:17:54:43 +0530] "GET /onlineshopping/json/data/mp/products HTTP/1.1" 200 1154
0:0:0:0:0:0:0:1 - - [21/Oct/2018:17:54:43 +0530] "GET /onlineshopping/json/data/mv/products HTTP/1.1" 200 1195
0:0:0:0:0:0:0:1 - - [21/Oct/2018:17:54:43 +0530] "GET /onlineshopping/resources/images/PRDDEF123DEFX.jpg HTTP/1.1" 200 47887
0:0:0:0:0:0:0:1 - - [21/Oct/2018:17:54:43 +0530] "GET /onlineshopping/resources/images/PRDABC123DEFX.jpg HTTP/1.1" 200 36815
0:0:0:0:0:0:0:1 - - [21/Oct/2018:17:54:43 +0530] "GET /onlineshopping/resources/images/PRDMNO123PQRX.jpg HTTP/1.1" 200 15197
0:0:0:0:0:0:0:1 - - [21/Oct/2018:17:54:43 +0530] "GET /onlineshopping/resources/images/PRDABCXYZDEFX.jpg HTTP/1.1" 200 36917
